C_stable_similarity,D_stable_similarity,E_stable__similarity,average_stable_similarity(C、D、E三个溶剂的平均值),C_mix_similarity,D_mix_similarity,E_mix_similarity,C_MinAbsPartialCharge,C_MinEStateIndex,D_FpDensityMorgan1,D_Kappa3,D_MaxAbsPartialCharge,D_MinAbsPartialCharge,D_MinPartialCharge,D_MolLogP,D_qed,E_BalabanJ,E_MinAbsEStateIndex,E_MinPartialCharge,E_qed
0.38635278,0.33377582,0.0,0.240042867,1.65491533,1.0796178,0.0,0.053578702,1.355,1.8,3.92,0.393700042,0.074238644,-0.393700042,-0.6405,0.435834997,0.0,0.0,0.0,0.0
0.37118155,0.370144367,0.0,0.247108639,1.69758505,1.210980037,0.0,0.048347612,-0.166666667,1.666666667,0.505725462,0.465656557,0.305409841,-0.465656557,0.3234,0.396777661,0.0,0.0,0.0,0.0
0.18914637,0.17376229,0.0,0.120969553,1.080198396,0.72049395,0.0,0.040220582,0.25,1.6,3.96,0.330473681,0.007737643,-0.330473681,0.7452,0.512414872,0.0,0.0,0.0,0.0
0.4256237,0.301399,0.0,0.2423409,1.54721435,0.6736336,0.0,0.059180344,0.605709877,1.125,1.073981897,0.391680468,0.06813694,-0.391680468,1.1789,0.572343612,0.0,0.0,0.0,0.0
0.484608203,0.2553321,0.0,0.246646768,1.192729653,1.24702681,0.0,0.218425131,0.092592593,2.0,1.156009256,0.481433475,0.299684553,-0.481433475,0.0909,0.429882883,0.0,0.0,0.0,0.0
0.19431809,0.28543487,0.0,0.159917653,0.547261949,1.07506076,0.0,0.004743854,1.1875,1.5,-27.04,0.399630244,0.031940684,-0.399630244,-0.3915,0.385284404,0.0,0.0,0.0,0.0
0.3221654,0.33475372,0.0,0.21897304,1.384727476,1.43194772,0.0,0.126267944,0.166666667,1.714285714,0.734423082,0.345748915,0.221873564,-0.345748915,0.2386,0.425686211,0.0,0.0,0.0,0.0
0.37061197,0.31287825,0.0,0.227830073,0.86131363,1.52151552,0.0,0.06622664,-0.125,1.0,1.038264132,0.062249086,0.039774526,-0.062249086,1.99502,0.45880628,0.0,0.0,0.0,0.0
0.33475372,0.0,0.0,0.111584573,1.43194772,0.0,0.0,0.221873564,0.291666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28543487,0.0,0.0,0.095144957,1.07506076,0.0,0.0,0.031940684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2553321,0.0,0.0,0.0851107,1.24702681,0.0,0.0,0.299684553,-0.833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.301399,0.0,0.0,0.100466333,0.6736336,0.0,0.0,0.06813694,0.139722222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28364202,0.0,0.0,0.09454734,1.46313156,0.0,0.0,0.302112778,-0.210648148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.370144367,0.0,0.0,0.123381456,1.210980037,0.0,0.0,0.305409841,-0.046296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37623513,0.0,0.0,0.12541171,1.26580363,0.0,0.0,0.126267944,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33377582,0.0,0.0,0.111258607,1.0796178,0.0,0.0,0.074238644,-0.560185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38635278,0.0,0.0,0.12878426,1.65491533,0.0,0.0,0.053578702,1.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18487532,0.0,0.0,0.061625107,0.94695218,0.0,0.0,0.053316205,1.364795918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37118155,0.0,0.0,0.123727183,1.69758505,0.0,0.0,0.048347612,-0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18914637,0.0,0.0,0.06304879,1.080198396,0.0,0.0,0.040220582,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4256237,0.0,0.0,0.141874567,1.54721435,0.0,0.0,0.059180344,0.605709877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.484608203,0.0,0.0,0.161536068,1.192729653,0.0,0.0,0.218425131,0.092592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19431809,0.0,0.0,0.064772697,0.547261949,0.0,0.0,0.004743854,1.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3221654,0.0,0.0,0.107388467,1.384727476,0.0,0.0,0.126267944,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37061197,0.0,0.0,0.123537323,0.86131363,0.0,0.0,0.06622664,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
